_id,nombre,descripcion,precio,inventario,categorias[0],categorias[1],categorias[2],caracteristicas.marca,caracteristicas.pantalla,caracteristicas.procesador,caracteristicas.ram,caracteristicas.almacenamiento,caracteristicas.resolucion,caracteristicas.tipo_pantalla,caracteristicas.frecuencia_refresco,caracteristicas.tipo,caracteristicas.conectividad,caracteristicas.memoria_interna,caracteristicas.duración_batería,caracteristicas.sensor,caracteristicas.grabación_video,caracteristicas.tecnologia_impresion,caracteristicas.velocidad_impresion,caracteristicas.interruptores,caracteristicas.iluminacion,caracteristicas.teclas_programables,caracteristicas.estandar_wifi,caracteristicas.bandas,caracteristicas.velocidad_maxima,caracteristicas.autonomia_bateria,caracteristicas.resistencia_agua,caracteristicas.sensor_oxigeno,caracteristicas.sensor_frecuencia_cardiaca,caracteristicas.estabilizacion,caracteristicas.cancelacion_ruido,caracteristicas.carga_rapida,caracteristicas.monitor_ritmo_cardiaco,caracteristicas.gps,caracteristicas.canales,caracteristicas.tamaño_pantalla,caracteristicas.tecnologia_pantalla,caracteristicas.sistema_operativo,caracteristicas.resolucion_camara,caracteristicas.autonomia_vuelo,caracteristicas.distancia_maxima,caracteristicas.resolucion_maxima,caracteristicas.almacenamiento_interno,caracteristicas.velocidad_procesador,caracteristicas.tecnologia,caracteristicas.capacidad,caracteristicas.presion,caracteristicas.tanques_tinta,caracteristicas.audio,caracteristicas.gpu,caracteristicas.grabacion_video,caracteristicas.asistente_virtual,caracteristicas.funciones[0],caracteristicas.funciones[1],caracteristicas.funciones[2],caracteristicas.tiempo_respuesta,caracteristicas.tecnologia_navegacion,caracteristicas.mapeo,caracteristicas.aplicación_movil,caracteristicas.vision_nocturna,caracteristicas.audio_bidireccional,caracteristicas.patrones_grabacion[0],caracteristicas.patrones_grabacion[1],caracteristicas.patrones_grabacion[2],caracteristicas.patrones_grabacion[3],caracteristicas.tecnologia_proyeccion,caracteristicas.brillo,caracteristicas.contraste,caracteristicas.pulsometro,caracteristicas.interruptores[0],caracteristicas.interruptores[1],caracteristicas.interruptores[2],caracteristicas.teclas_macro,caracteristicas.hdr,caracteristicas.compatibilidad
1,Portátil HP Pavilion,Portátil HP Pavilion 15.6 pulgadas,800,10,electrónica,informática,,HP,15.6 pulgadas,Intel Core i5,8 GB,512 GB SSD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Smartphone Samsung Galaxy S20,Smartphone Samsung Galaxy S20 6.2 pulgadas,1000,15,electrónica,telefonía,,Samsung,6.2 pulgadas,Exynos 990,12 GB,128 GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Monitor Dell UltraSharp,Monitor Dell UltraSharp 27 pulgadas,500,5,electrónica,informática,,Dell,27 pulgadas,,,,2560 x 1440,IPS,60 Hz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Tableta Apple iPad Pro,Tableta Apple iPad Pro 11 pulgadas,1200,8,electrónica,informática,,Apple,11 pulgadas,A12Z Bionic,6 GB,256 GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Reproductor de música Sony Walkman,Reproductor de música Sony Walkman con Bluetooth,150,20,electrónica,audio,,Sony,,,,,,,,Reproductor de música,Bluetooth,32 GB,30 horas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Cámara Canon EOS Rebel T7,Cámara Canon EOS Rebel T7 con lente 18-55mm,600,12,electrónica,fotografía,,Canon,,,,,24.1 megapíxeles,,,Cámara réflex digital,,,,APS-C CMOS,Full HD 1080p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Impresora HP LaserJet Pro,Impresora HP LaserJet Pro M404dw,300,8,electrónica,informática,,HP,,,,,,,,Impresora láser,"Wi-Fi, Ethernet",,,,,Láser,40 ppm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Teclado mecánico Razer BlackWidow,Teclado mecánico Razer BlackWidow Chroma,150,15,electrónica,informática,periféricos,Razer,,,,,,,,Teclado mecánico,,,,,,,,Razer Green,RGB Chroma,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Router TP-Link Archer C7,Router TP-Link Archer C7 AC1750,100,20,electrónica,informática,redes,TP-Link,,,,,,,,Router,,,,,,,,,,,802.11ac,Dual-band,"450 Mbps (2.4 GHz), 1300 Mbps (5 GHz)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Altavoces Bose SoundLink,Altavoces Bose SoundLink Revolve+,250,10,electrónica,audio,,Bose,,,,,,,,Altavoz Bluetooth,"Bluetooth, NFC",,,,,,,,,,,,,16 horas,IPX4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
